character,character_link,languages,languages_count
Ar-Pharazôn,/wiki/Ar-Pharaz%C3%B4n,"[{'language': 'lang-de', 'language_name': 'Deutsch'}, {'language': 'lang-es', 'language_name': 'Español'}, {'language': 'lang-fr', 'language_name': 'Français'}, {'language': 'lang-it', 'language_name': 'Italiano'}, {'language': 'lang-pl', 'language_name': 'Polski'}, {'language': 'lang-pt-BR', 'language_name': 'Português do Brasil'}, {'language': 'lang-ru', 'language_name': 'Русский'}, {'language': 'lang-de', 'language_name': 'Deutsch'}, {'language': 'lang-es', 'language_name': 'Español'}, {'language': 'lang-fr', 'language_name': 'Français'}, {'language': 'lang-it', 'language_name': 'Italiano'}, {'language': 'lang-pl', 'language_name': 'Polski'}, {'language': 'lang-pt-BR', 'language_name': 'Português do Brasil'}, {'language': 'lang-ru', 'language_name': 'Русский'}]",14
Tom Bombadil,/wiki/Tom_Bombadil,"[{'language': 'lang-ca', 'language_name': 'Català'}, {'language': 'lang-de', 'language_name': 'Deutsch'}, {'language': 'lang-es', 'language_name': 'Español'}, {'language': 'lang-fr', 'language_name': 'Français'}, {'language': 'lang-it', 'language_name': 'Italiano'}, {'language': 'lang-nl', 'language_name': 'Nederlands'}, {'language': 'lang-pl', 'language_name': 'Polski'}, {'language': 'lang-ru', 'language_name': 'Русский'}, {'language': 'lang-ca', 'language_name': 'Català'}, {'language': 'lang-de', 'language_name': 'Deutsch'}, {'language': 'lang-es', 'language_name': 'Español'}, {'language': 'lang-fr', 'language_name': 'Français'}, {'language': 'lang-it', 'language_name': 'Italiano'}, {'language': 'lang-nl', 'language_name': 'Nederlands'}, {'language': 'lang-pl', 'language_name': 'Polski'}, {'language': 'lang-ru', 'language_name': 'Русский'}]",16
Celebrimbor,/wiki/Celebrimbor,"[{'language': 'lang-ca', 'language_name': 'Català'}, {'language': 'lang-de', 'language_name': 'Deutsch'}, {'language': 'lang-es', 'language_name': 'Español'}, {'language': 'lang-fr', 'language_name': 'Français'}, {'language': 'lang-it', 'language_name': 'Italiano'}, {'language': 'lang-nl', 'language_name': 'Nederlands'}, {'language': 'lang-pl', 'language_name': 'Polski'}, {'language': 'lang-pt-BR', 'language_name': 'Português do Brasil'}, {'language': 'lang-ru', 'language_name': 'Русский'}, {'language': 'lang-tr', 'language_name': 'Türkçe'}, {'language': 'lang-uk', 'language_name': 'Українська'}, {'language': 'lang-ca', 'language_name': 'Català'}, {'language': 'lang-de', 'language_name': 'Deutsch'}, {'language': 'lang-es', 'language_name': 'Español'}, {'language': 'lang-fr', 'language_name': 'Français'}, {'language': 'lang-it', 'language_name': 'Italiano'}, {'language': 'lang-nl', 'language_name': 'Nederlands'}, {'language': 'lang-pl', 'language_name': 'Polski'}, {'language': 'lang-pt-BR', 'language_name': 'Português do Brasil'}, {'language': 'lang-ru', 'language_name': 'Русский'}, {'language': 'lang-tr', 'language_name': 'Türkçe'}, {'language': 'lang-uk', 'language_name': 'Українська'}]",22
Círdan,/wiki/C%C3%ADrdan,"[{'language': 'lang-ca', 'language_name': 'Català'}, {'language': 'lang-de', 'language_name': 'Deutsch'}, {'language': 'lang-es', 'language_name': 'Español'}, {'language': 'lang-fr', 'language_name': 'Français'}, {'language': 'lang-it', 'language_name': 'Italiano'}, {'language': 'lang-pl', 'language_name': 'Polski'}, {'language': 'lang-pt-BR', 'language_name': 'Português do Brasil'}, {'language': 'lang-ru', 'language_name': 'Русский'}, {'language': 'lang-uk', 'language_name': 'Українська'}, {'language': 'lang-ca', 'language_name': 'Català'}, {'language': 'lang-de', 'language_name': 'Deutsch'}, {'language': 'lang-es', 'language_name': 'Español'}, {'language': 'lang-fr', 'language_name': 'Français'}, {'language': 'lang-it', 'language_name': 'Italiano'}, {'language': 'lang-pl', 'language_name': 'Polski'}, {'language': 'lang-pt-BR', 'language_name': 'Português do Brasil'}, {'language': 'lang-ru', 'language_name': 'Русский'}, {'language': 'lang-uk', 'language_name': 'Українська'}]",18
Durin III,/wiki/Durin_III,"[{'language': 'lang-de', 'language_name': 'Deutsch'}, {'language': 'lang-es', 'language_name': 'Español'}, {'language': 'lang-fr', 'language_name': 'Français'}, {'language': 'lang-it', 'language_name': 'Italiano'}, {'language': 'lang-pl', 'language_name': 'Polski'}, {'language': 'lang-pt-BR', 'language_name': 'Português do Brasil'}, {'language': 'lang-de', 'language_name': 'Deutsch'}, {'language': 'lang-es', 'language_name': 'Español'}, {'language': 'lang-fr', 'language_name': 'Français'}, {'language': 'lang-it', 'language_name': 'Italiano'}, {'language': 'lang-pl', 'language_name': 'Polski'}, {'language': 'lang-pt-BR', 'language_name': 'Português do Brasil'}]",12
Durin IV,/wiki/Durin_IV,"[{'language': 'lang-de', 'language_name': 'Deutsch'}, {'language': 'lang-es', 'language_name': 'Español'}, {'language': 'lang-fr', 'language_name': 'Français'}, {'language': 'lang-it', 'language_name': 'Italiano'}, {'language': 'lang-nl', 'language_name': 'Nederlands'}, {'language': 'lang-pl', 'language_name': 'Polski'}, {'language': 'lang-pt-BR', 'language_name': 'Português do Brasil'}, {'language': 'lang-ru', 'language_name': 'Русский'}, {'language': 'lang-uk', 'language_name': 'Українська'}, {'language': 'lang-de', 'language_name': 'Deutsch'}, {'language': 'lang-es', 'language_name': 'Español'}, {'language': 'lang-fr', 'language_name': 'Français'}, {'language': 'lang-it', 'language_name': 'Italiano'}, {'language': 'lang-nl', 'language_name': 'Nederlands'}, {'language': 'lang-pl', 'language_name': 'Polski'}, {'language': 'lang-pt-BR', 'language_name': 'Português do Brasil'}, {'language': 'lang-ru', 'language_name': 'Русский'}, {'language': 'lang-uk', 'language_name': 'Українська'}]",18
Elendil,/wiki/Elendil,"[{'language': 'lang-de', 'language_name': 'Deutsch'}, {'language': 'lang-es', 'language_name': 'Español'}, {'language': 'lang-fr', 'language_name': 'Français'}, {'language': 'lang-it', 'language_name': 'Italiano'}, {'language': 'lang-nl', 'language_name': 'Nederlands'}, {'language': 'lang-pl', 'language_name': 'Polski'}, {'language': 'lang-pt-BR', 'language_name': 'Português do Brasil'}, {'language': 'lang-ru', 'language_name': 'Русский'}, {'language': 'lang-tr', 'language_name': 'Türkçe'}, {'language': 'lang-uk', 'language_name': 'Українська'}, {'language': 'lang-de', 'language_name': 'Deutsch'}, {'language': 'lang-es', 'language_name': 'Español'}, {'language': 'lang-fr', 'language_name': 'Français'}, {'language': 'lang-it', 'language_name': 'Italiano'}, {'language': 'lang-nl', 'language_name': 'Nederlands'}, {'language': 'lang-pl', 'language_name': 'Polski'}, {'language': 'lang-pt-BR', 'language_name': 'Português do Brasil'}, {'language': 'lang-ru', 'language_name': 'Русский'}, {'language': 'lang-tr', 'language_name': 'Türkçe'}, {'language': 'lang-uk', 'language_name': 'Українська'}]",20
Elrond,/wiki/Elrond,"[{'language': 'lang-ca', 'language_name': 'Català'}, {'language': 'lang-de', 'language_name': 'Deutsch'}, {'language': 'lang-es', 'language_name': 'Español'}, {'language': 'lang-fr', 'language_name': 'Français'}, {'language': 'lang-he', 'language_name': 'עברית'}, {'language': 'lang-it', 'language_name': 'Italiano'}, {'language': 'lang-nl', 'language_name': 'Nederlands'}, {'language': 'lang-pl', 'language_name': 'Polski'}, {'language': 'lang-pt-BR', 'language_name': 'Português do Brasil'}, {'language': 'lang-ru', 'language_name': 'Русский'}, {'language': 'lang-tr', 'language_name': 'Türkçe'}, {'language': 'lang-uk', 'language_name': 'Українська'}, {'language': 'lang-ca', 'language_name': 'Català'}, {'language': 'lang-de', 'language_name': 'Deutsch'}, {'language': 'lang-es', 'language_name': 'Español'}, {'language': 'lang-fr', 'language_name': 'Français'}, {'language': 'lang-he', 'language_name': 'עברית'}, {'language': 'lang-it', 'language_name': 'Italiano'}, {'language': 'lang-nl', 'language_name': 'Nederlands'}, {'language': 'lang-pl', 'language_name': 'Polski'}, {'language': 'lang-pt-BR', 'language_name': 'Português do Brasil'}, {'language': 'lang-ru', 'language_name': 'Русский'}, {'language': 'lang-tr', 'language_name': 'Türkçe'}, {'language': 'lang-uk', 'language_name': 'Українська'}]",24
Finrod,/wiki/Finrod,"[{'language': 'lang-ca', 'language_name': 'Català'}, {'language': 'lang-de', 'language_name': 'Deutsch'}, {'language': 'lang-es', 'language_name': 'Español'}, {'language': 'lang-fr', 'language_name': 'Français'}, {'language': 'lang-it', 'language_name': 'Italiano'}, {'language': 'lang-nl', 'language_name': 'Nederlands'}, {'language': 'lang-pl', 'language_name': 'Polski'}, {'language': 'lang-pt-BR', 'language_name': 'Português do Brasil'}, {'language': 'lang-ru', 'language_name': 'Русский'}, {'language': 'lang-ca', 'language_name': 'Català'}, {'language': 'lang-de', 'language_name': 'Deutsch'}, {'language': 'lang-es', 'language_name': 'Español'}, {'language': 'lang-fr', 'language_name': 'Français'}, {'language': 'lang-it', 'language_name': 'Italiano'}, {'language': 'lang-nl', 'language_name': 'Nederlands'}, {'language': 'lang-pl', 'language_name': 'Polski'}, {'language': 'lang-pt-BR', 'language_name': 'Português do Brasil'}, {'language': 'lang-ru', 'language_name': 'Русский'}]",18
Galadriel,/wiki/Galadriel,"[{'language': 'lang-ca', 'language_name': 'Català'}, {'language': 'lang-de', 'language_name': 'Deutsch'}, {'language': 'lang-es', 'language_name': 'Español'}, {'language': 'lang-fr', 'language_name': 'Français'}, {'language': 'lang-it', 'language_name': 'Italiano'}, {'language': 'lang-pl', 'language_name': 'Polski'}, {'language': 'lang-pt-BR', 'language_name': 'Português do Brasil'}, {'language': 'lang-ru', 'language_name': 'Русский'}, {'language': 'lang-sk', 'language_name': 'Slovenčina'}, {'language': 'lang-tr', 'language_name': 'Türkçe'}, {'language': 'lang-uk', 'language_name': 'Українська'}, {'language': 'lang-ca', 'language_name': 'Català'}, {'language': 'lang-de', 'language_name': 'Deutsch'}, {'language': 'lang-es', 'language_name': 'Español'}, {'language': 'lang-fr', 'language_name': 'Français'}, {'language': 'lang-it', 'language_name': 'Italiano'}, {'language': 'lang-pl', 'language_name': 'Polski'}, {'language': 'lang-pt-BR', 'language_name': 'Português do Brasil'}, {'language': 'lang-ru', 'language_name': 'Русский'}, {'language': 'lang-sk', 'language_name': 'Slovenčina'}, {'language': 'lang-tr', 'language_name': 'Türkçe'}, {'language': 'lang-uk', 'language_name': 'Українська'}]",22
